2024-08-20 07:14:34,BTCUSDT,ask,65000,541.789
2024-08-20 07:00:22,BTCUSD_PERP,bid,58900,533.35
2024-08-20 07:00:23,BTCUSD_PERP,bid,58900,522.44
2024-08-20 07:01:26,BTCUSD_PERP,bid,58900,580.74
2024-08-20 07:01:26,BTCUSD_PERP,bid,58900,639.12
2024-08-20 07:01:27,BTCUSD_PERP,bid,58900,641.23
2024-08-20 07:01:28,BTCUSD_PERP,bid,58900,655.36
2024-08-20 07:04:14,BTCUSD_PERP,bid,58900,522.86
2024-08-20 07:04:14,BTCUSD_PERP,bid,58900,639.01
2024-08-20 07:05:23,BTCUSD_PERP,bid,58900,638.59
2024-08-20 07:07:04,BTCUSD_PERP,bid,58800,582.65
2024-08-20 07:09:05,BTCUSD_PERP,bid,58800,580.54
2024-08-20 07:11:23,BTCUSD_PERP,bid,58800,522.83
2024-08-20 07:16:16,BTCUSD_PERP,bid,58800,637.93
2024-08-20 07:16:17,BTCUSD_PERP,bid,58800,696.2
2024-08-20 07:16:31,BTCUSD_PERP,bid,58800,638.52
2024-08-20 07:16:31,BTCUSD_PERP,bid,58800,580.25
2024-08-20 07:16:31,BTCUSD_PERP,bid,58800,522.57
2024-08-20 07:16:33,BTCUSD_PERP,bid,58800,566.84
2024-08-20 07:16:33,BTCUSD_PERP,bid,58800,522.4
2024-08-20 07:16:33,BTCUSD_PERP,bid,58800,580.71
2024-08-20 07:16:33,BTCUSD_PERP,bid,58800,638.92
